Fri Feb 07 2020 21:38:16 GMT-0500 (Eastern Standard Time) - Run Time: 3498ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: Straight line trip length in Metre - trip_m
Table: Planning district of destination - pd_dest

RowG:
ColG:
TblG:(1)

Filters:
2006 GTA zone of destination - gta06_dest In 1-90
and
2006 GTA zone of origin - gta06_orig In 1-90

Trip 2016
ROW : gta06_orig
COLUMN : trip_m

TABLE    : pd_dest (PD 1 of Toronto)

  gta06_orig      trip_m      total
          17        1561          8
          17        1567         20
          17        1570         18
          17        1574          5
          17        1602         21
          17        1622         14
          17        1623         36
          17        1632         31
          17        1649         14
          17        1665         15
          17        1679          7
          17        1689         31
          17        1714         26
          17        1718        134
          17        1724         28
          17        1727         31
          17        1734         22
          17        1737         30
          17        1742         82
          17        1745         16
          17        1756         18
          17        1778         28
          17        1788         29
          17        1795         21
          17        1798         10
          17        1815         13
          17        1822         31
          17        1865         16
          17        1869         14
          17        1881         16
          17        1882          7
          17        1884         28
          17        1887         23
          17        1888         23
          17        1890         16
          17        1908          8
          17        1917          5
          17        1919         24
          17        1921         12
          17        1944         19
          17        1959         12
          17        1978         10
          17        2004         31
          17        2006         16
          17        2012         21
          17        2016         15
          17        2018         31
          17        2030         23
          17        2040         10
          17        2058          5
          17        2059         23
          17        2095         21
          17        2103         43
          17        2109         20
          17        2117          5
          17        2131         16
          17        2164         20
          17        2167         24
          17        2172         23
          17        2174         16
          17        2182         10
          17        2208         21
          17        2229         23
          17        2231         15
          17        2244         23
          17        2246         16
          17        2269         10
          17        2276         21
          17        2294         16
          17        2297         40
          17        2306         16
          17        2325         11
          17        2329         17
          17        2330          7
          17        2340         11
          17        2343         27
          17        2379         18
          17        2384         30
          17        2393         18
          17        2409          5
          17        2418          5
          17        2429         16
          17        2433         30
          17        2434          5
          17        2451         55
          17        2455         19
          17        2456         14
          17        2485          5
          17        2487         15
          17        2502         22
          17        2512         16
          17        2555         14
          17        2569         17
          17        2575         29
          17        2582         23
          17        2600         26
          17        2625         23
          17        2634         11
          17        2641          5
          17        2648         53
          17        2660         68
          17        2703         15
          17        2727          7
          17        2728         13
          17        2735         28
          17        2741          8
          17        2760         23
          17        2788         18
          17        2807         16
          17        2811         17
          17        2823         12
          17        2825         30
          17        2847          8
          17        2867         16
          17        2877         10
          17        2924         27
          17        2953         13
          17        2971         18
          17        2975         17
          17        2983         10
          17        2984         19
          17        2987         16
          17        3006         21
          17        3013         16
          17        3037         23
          17        3048          5
          17        3057         24
          17        3077         24
          17        3083         21
          17        3121         32
          17        3136         22
          17        3159         17
          17        3177         20
          17        3216         10
          17        3245         20
          17        3338         14
          17        3354         23
          17        3359         31
          17        3375         15
          17        3400         25
          17        3410         19
          17        3417         21
          17        3448         16
          17        3483          5
          17        3487         23
          17        3558         14
          17        3599         53
          17        3710         10
          17        3917          5
          17        3937         36
          17        3950         29
          17        4318         14
          17        4338         22
          17        4520         27
