Fri Feb 07 2020 22:17:05 GMT-0500 (Eastern Standard Time) - Run Time: 3081ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest
Table: Planning district of origin - pd_orig

RowG:
ColG:
TblG:(1)

Filters:
Start time of trip - start_time In 1500-1900
and
2006 GTA zone of origin - gta06_orig In 1-90
and
2006 GTA zone of destination - gta06_dest In 1-90

Trip 2016
ROW : gta06_orig
COLUMN : gta06_dest

TABLE    : pd_orig (PD 1 of Toronto)

  gta06_orig  gta06_dest      total
          37          45         37
          37          46         43
          37          47         34
          37          48         77
          37          50         66
          37          51         11
          37          52        107
          37          53         53
          37          54         48
          37          55         66
          37          57         12
          37          59         38
          37          60         81
          37          61         34
          37          63         19
          37          64         40
          37          65         69
          37          66        124
          37          67         39
          37          68          4
          37          69         63
          37          71         13
          37          72         21
          37          73         10
          37          74          7
          37          76         23
          37          77        119
          37          79         42
          37          80         41
          37          81         13
          37          84         41
          37          89         42
          37          90        126
          38           1         15
          38          11          6
          38          14          7
          38          15         19
          38          16         17
          38          17        178
          38          18         81
          38          21        119
          38          22        103
          38          23         64
          38          24         28
          38          25        156
          38          26         62
          38          33         38
          38          34        109
          38          35        109
          38          36         71
          38          37         94
          38          38        387
          38          39         67
          38          40        144
          38          41        118
          38          42        147
          38          43        144
          38          44         41
          38          45        136
          38          46        185
          38          47         10
          38          48         25
          38          49         34
          38          50         88
          38          51         14
          38          52        460
          38          53         38
          38          54          9
          38          55         20
          38          56         38
          38          57         28
          38          59          9
          38          61         57
          38          62         21
          38          64         15
          38          65         28
          38          66         76
          38          67        119
          38          68         60
          38          69         42
          38          71         91
          38          72         33
          38          73          7
          38          75        229
          38          76         74
          38          77         74
          38          78         23
          38          79         46
          38          80         30
          38          84         28
          38          89         32
          38          90        108
          39          15         31
          39          19         17
          39          21         30
          39          22         84
          39          23         11
          39          24         47
          39          39         31
          39          40         39
          39          41         16
          39          45         11
          39          47         10
          39          48         11
          39          50         59
          39          63         17
          39          67         15
          39          71         33
          39          76         34
          39          79         81
          40           2         30
          40          15         13
          40          16         87
          40          17         50
          40          18         82
          40          19         14
          40          21        189
          40          22         31
          40          23         55
          40          24        134
          40          25         38
          40          26         12
          40          35         30
          40          36         39
          40          37         65
          40          38        162
          40          39         42
          40          40        118
          40          41        148
          40          42        133
          40          43         13
          40          46         79
          40          48         30
          40          49         38
          40          50         13
          40          52         26
          40          55          4
          40          62         37
          40          64         21
          40          65         30
          40          68         11
