Fri Feb 07 2020 22:28:36 GMT-0500 (Eastern Standard Time) - Run Time: 2867ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: Straight line trip length in Metre - trip_m
Table: Planning district of origin - pd_orig

RowG:
ColG:
TblG:(1)

Filters:
Start time of trip - start_time In 1900-2400
and
2006 GTA zone of origin - gta06_orig In 1-90
and
2006 GTA zone of destination - gta06_dest In 1-90

Trip 2016
ROW : gta06_orig
COLUMN : trip_m

TABLE    : pd_orig (PD 1 of Toronto)

  gta06_orig      trip_m      total
          35        1815          3
          35        1837         17
          35        1884         10
          35        1887         23
          35        2001         29
          35        2026         22
          35        2046         13
          35        2576          8
          35        2606         26
          35        2656         22
          35        2694         14
          35        2824         11
          35        3141         27
          35        3180         31
          35        3642          4
          35        3810         11
          36          52         10
          36         155         14
          36         336         10
          36         376         22
          36         465         21
          36         482         13
          36         544         12
          36         563         12
          36         601         14
          36         611         18
          36         615         43
          36         628         67
          36         654         12
          36         693         10
          36         795         15
          36         805         24
          36         857         12
          36         946         11
          36         982         45
          36        1021         23
          36        1064         20
          36        1077         17
          36        1084         19
          36        1102         19
          36        1109         11
          36        1132          6
          36        1157         11
          36        1179         30
          36        1203         13
          36        1229         18
          36        1255          6
          36        1269         25
          36        1287         69
          36        1317         21
          36        1336         15
          36        1362         30
          36        1380          4
          36        1387         33
          36        1483         15
          36        1601         15
          36        1627         46
          36        1646         21
          36        1654         17
          36        1661         14
          36        1706         19
          36        1757         18
          36        1833          5
          36        1922         31
          36        1981          3
          36        2046         18
          36        2162         29
          36        2241         10
          36        2291         16
          36        2365         23
          36        2400         23
          36        2479         10
          36        2603         21
          36        2830         18
          36        2999         11
          36        3020         40
          36        3028          4
          36        3029          4
          36        3130          4
          36        3221         43
          36        3860          4
          37          57         32
          37         184         26
          37         273         17
          37         325         12
          37         365         27
          37         393          3
          37         475         15
          37         484         10
          37         535         21
          37         599         18
          37         615         20
          37         699         16
          37         725         23
          37         755          4
          37         938         21
          37        1002         28
          37        1025         20
          37        1099         51
          37        1108         12
          37        1224         10
          37        1227         16
          37        1231         14
          37        1254         21
          37        1265         25
          37        1320         27
          37        1369         27
          37        1376          5
          37        1394         19
          37        1412          4
          37        1437         18
          37        1450         10
          37        1505         25
          37        1515         11
          37        1532         19
          37        1581         21
          37        1588         22
          37        1642         15
          37        1667         23
          37        1784         25
          37        1856          3
          37        1858          5
          37        1941         29
          37        1955         15
          37        1980          8
          37        2050          7
          37        2109         17
          37        2190         33
          37        2320         25
          37        2519         24
          37        2662         14
          37        2914          3
          37        3467         20
          37        3953          5
          37        4166          8
          38          56         18
          38         196         21
          38         218          4
          38         241          9
          38         282         19
          38         343         15
          38         344         31
          38         400         15
          38         429         18
          38         485          9
          38         570         22
          38         585         14
          38         591         15
          38         659         16
          38         677         19
          38         699         16
          38         702         52
          38         732         28
          38         736         40
          38         742         18
          38         763         14
          38         801         11
          38         830        256
          38         850         44
          38         855         10
          38         861         30
          38         941         21
          38        1003         12
          38        1075         26
          38        1098         28
          38        1109         34
          38        1133         19
          38        1185         37
          38        1206         44
          38        1221          6
          38        1224         13
          38        1232         13
          38        1270         19
          38        1286         27
          38        1292         51
          38        1319         78
          38        1321         12
          38        1343         40
          38        1348         31
          38        1365         17
          38        1386         17
          38        1403         18
          38        1415         58
          38        1430         30
          38        1440         35
          38        1452          5
          38        1468          8
          38        1472          5
          38        1511         13
